Total Purchases,Total Purchases,
Unnamed Address,Unnamed Address,
Unnamed Location,Unnamed Location,
Segment,Segment,
Verification,Verification,
Documents,Documents,
Blocking Reason,Blocking Reason,
New Segment,New Segment,
Optional notes about the verification,Optional notes about the verification,
Please provide a reason for blocking,Please provide a reason for blocking,
Please provide a reason for rejection,Please provide a reason for rejection,
Please provide a reason for suspension,Please provide a reason for suspension,
Rejection Reason,Rejection Reason,
Suspension Reason,Suspension Reason,
Verification Notes,Verification Notes,
Already at highest level,Already at highest level,
"Buyer does not yet qualify for {0}","Buyer does not yet qualify for {0}",
"Buyer qualifies for upgrade to {0}","Buyer qualifies for upgrade to {0}",
No buyer profile provided,No buyer profile provided,
No current level found,No current level found,
Activate this buyer account?,Activate this buyer account?,
"Buyer is eligible for segment upgrade from {0} to {1}. Upgrade now?","Buyer is eligible for segment upgrade from {0} to {1}. Upgrade now?",
"Changing tenant status to {0} will affect all associated sellers. Continue?","Changing tenant status to {0} will affect all associated sellers. Continue?",
Submit this buyer profile for verification? Make sure all required documents are uploaded.,Submit this buyer profile for verification? Make sure all required documents are uploaded.,
"Tier changed to {0}. Default limits: {1} sellers, {2} listings/seller","Tier changed to {0}. Default limits: {1} sellers, {2} listings/seller",
"This organization has {0} linked seller profile(s). Changing the tenant is not allowed.","This organization has {0} linked seller profile(s). Changing the tenant is not allowed.",
"Warning: This organization has {0} linked seller profile(s). Tenant change will be blocked on save.","Warning: This organization has {0} linked seller profile(s). Tenant change will be blocked on save.",
Analyzing columns...,Analyzing columns...,
Applying mapping template...,Applying mapping template...,
"Action Target is required for action type '{0}'","Action Target is required for action type '{0}'",
"Action Value is required for action type '{0}'","Action Value is required for action type '{0}'",
At least one buyer KPI metric is required,At least one buyer KPI metric is required,
"At least one value is required for operator '{0}'","At least one value is required for operator '{0}'",
Buyer is required,Buyer is required,
Buyer name is required,Buyer name is required,
"Category Code '{0}' already exists","Category Code '{0}' already exists",
Category Name is required,Category Name is required,
Category Name must be at least 2 characters long,Category Name must be at least 2 characters long,
Category Name must not exceed 140 characters,Category Name must not exceed 140 characters,
City code must be a 2-digit number (01-81),City code must be a 2-digit number (01-81),
City code must be between 01 and 81,City code must be between 01 and 81,
City name must be at least 2 characters,City name must be at least 2 characters,
Credit Score must be between 0 and 1000,Credit Score must be between 0 and 1000,
District name must be at least 2 characters,District name must be at least 2 characters,
ID front image is required,ID front image is required,
Import file is required,Import file is required,
Invalid buyer,Invalid buyer,
Invalid check type,Invalid check type,
Invalid column mapping JSON,Invalid column mapping JSON,
Invalid order reference,Invalid order reference,
Invalid passport number format,Invalid passport number format,
Invalid seller,Invalid seller,
"Invalid status transition from {0} to {1}","Invalid status transition from {0} to {1}",
Invalid TCKN. Checksum validation failed.,Invalid TCKN. Checksum validation failed.,
Invalid Tax ID (VKN). Checksum validation failed.,Invalid Tax ID (VKN). Checksum validation failed.,
Invalid webhook signature,Invalid webhook signature,
KVKK consent is required,KVKK consent is required,
Maximum Amount must be greater than zero,Maximum Amount must be greater than zero,
MERSIS Number must be exactly 16 digits,MERSIS Number must be exactly 16 digits,
MERSIS Number must contain only digits,MERSIS Number must contain only digits,
Metric code is required,Metric code is required,
Minimum Amount cannot be negative,Minimum Amount cannot be negative,
Minimum Amount must be less than Maximum Amount,Minimum Amount must be less than Maximum Amount,
Neighborhood name must be at least 2 characters,Neighborhood name must be at least 2 characters,
Order reference is required,Order reference is required,
Overall rating is required,Overall rating is required,
"Phone code must be a 3-digit number (e.g., 212, 312)","Phone code must be a 3-digit number (e.g., 212, 312)",
Phone code must be between 200 and 999,Phone code must be between 200 and 999,
Phone code must contain only digits,Phone code must contain only digits,
Seller is required,Seller is required,
Seller name is required,Seller name is required,
Source Column is required,Source Column is required,
Target DocType is required,Target DocType is required,
Target Fieldname is required,Target Fieldname is required,
Template Code is required,Template Code is required,
Template name is required,Template name is required,
"A Premium Buyer profile already exists for {0}: {1}","A Premium Buyer profile already exists for {0}: {1}",
Buyer account is not active,Buyer account is not active,
"Delegation duration cannot exceed {0} days. Current duration: {1} days","Delegation duration cannot exceed {0} days. Current duration: {1} days",
Delegator and Delegatee cannot be the same user,Delegator and Delegatee cannot be the same user,
Start Date must be before End Date,Start Date must be before End Date,
Subscription End Date cannot be before Start Date,Subscription End Date cannot be before Start Date,
ID document has expired. Please provide a valid document.,ID document has expired. Please provide a valid document.,
TCKN cannot start with 0,TCKN cannot start with 0,
TCKN is required,TCKN is required,
TCKN must be exactly 11 digits,TCKN must be exactly 11 digits,
TCKN must contain only digits,TCKN must contain only digits,
User must be at least 18 years old to complete KYC,User must be at least 18 years old to complete KYC,
"User {0} already has an active KYC profile: {1}","User {0} already has an active KYC profile: {1}",
Not permitted,Not permitted,
Only platform administrators can switch tenants,Only platform administrators can switch tenants,
Only System Managers can perform bulk sync,Only System Managers can perform bulk sync,
"Role '{0}' cannot be delegated","Role '{0}' cannot be delegated",
You do not have permission to create webhooks,You do not have permission to create webhooks,
"You do not have permission to modify documents from tenant {0}","You do not have permission to modify documents from tenant {0}",
You do not have permission to view the admin KPI dashboard,You do not have permission to view the admin KPI dashboard,
You do not have permission to view this data,You do not have permission to view this data,
Buyer not found,Buyer not found,
"Import Job {0} does not exist","Import Job {0} does not exist",
"Mapping Template {0} does not exist","Mapping Template {0} does not exist",
"Order {0} not found","Order {0} not found",
"Seller Profile {0} not found","Seller Profile {0} not found",
"SKU Product {0} not found","SKU Product {0} not found",
"Tenant {0} does not exist","Tenant {0} does not exist",
Auto-match is only available when Import Job status is Pending,Auto-match is only available when Import Job status is Pending,
Cannot retry this job,Cannot retry this job,
"Only confirmed orders can be synced to ERPNext. Current status: {0}","Only confirmed orders can be synced to ERPNext. Current status: {0}",
Only draft profiles can be submitted for review,Only draft profiles can be submitted for review,
Only pending profiles can be reviewed,Only pending profiles can be reviewed,
Only verified profiles can be suspended,Only verified profiles can be suspended,
"Tenant {0} is disabled","Tenant {0} is disabled",
ERPNext is not installed,ERPNext is not installed,
No import file attached to this job,No import file attached to this job,
No column headers found in the import file,No column headers found in the import file,
Buyer activated,Buyer activated,
Buyer blocked,Buyer blocked,
Buyer has been rejected,Buyer has been rejected,
Buyer has been verified,Buyer has been verified,
Buyer suspended,Buyer suspended,
File validated successfully,File validated successfully,
KYC profile verified successfully,KYC profile verified successfully,
Mapping template applied successfully,Mapping template applied successfully,
Metrics updated,Metrics updated,
Profile submitted for verification,Profile submitted for verification,
"Segment changed to {0}","Segment changed to {0}",
Segment upgraded successfully,Segment upgraded successfully,
"Successfully synced to Supplier {0}","Successfully synced to Supplier {0}",
Successfully unlinked,Successfully unlinked,
"Switched to tenant {0}","Switched to tenant {0}",
Webhook registered successfully,Webhook registered successfully,
Skipping validation may result in invalid data. Proceed with caution.,Skipping validation may result in invalid data. Proceed with caution.,
Address Migration Complete,Address Migration Complete,
Address Migration Error,Address Migration Error,
Approve Buyer,Approve Buyer,
Block Buyer,Block Buyer,
Grace Period,Grace Period,
Migration Skip,Migration Skip,
Reject Buyer,Reject Buyer,
Review Column Mapping,Review Column Mapping,
Role Migration Complete,Role Migration Complete,
Role Migration Error,Role Migration Error,
Segment Eligibility,Segment Eligibility,
Suspend Buyer,Suspend Buyer,
District and Neighborhood cleared due to city change,District and Neighborhood cleared due to city change,
Failed to unlink,Failed to unlink,
Failed to run auto-match. Please check that a valid import file is attached.,Failed to run auto-match. Please check that a valid import file is attached.,
Neighborhood cleared due to district change,Neighborhood cleared due to district change,
No columns found to match,No columns found to match,
No columns were matched. Please configure column mapping manually.,No columns were matched. Please configure column mapping manually.,
Seller cleared as it does not belong to the selected tenant,Seller cleared as it does not belong to the selected tenant,
Tenant auto-filled from selected seller,Tenant auto-filled from selected seller,
Tenant is required for data isolation. Please select a Tenant.,Tenant is required for data isolation. Please select a Tenant.,
Warning: Selected seller has no tenant assigned,Warning: Selected seller has no tenant assigned,
"Cannot create document for tenant {0}. Your tenant is {1}.","Cannot create document for tenant {0}. Your tenant is {1}.",
You do not have access to tenant-isolated documents. Please contact your administrator.,You do not have access to tenant-isolated documents. Please contact your administrator.,
"Tenant cannot be changed after document creation. Original tenant: {0}","Tenant cannot be changed after document creation. Original tenant: {0}",
This operation requires a tenant context. Please ensure you are logged in with a tenant-associated user.,This operation requires a tenant context. Please ensure you are logged in with a tenant-associated user.,
"{0} cannot be negative","{0} cannot be negative",
"User '{0}' is disabled.","User '{0}' is disabled.",
"Column mapping saved successfully ({0} columns matched)","Column mapping saved successfully ({0} columns matched)",
Başvurunuz Alındı,Application Received,
"Satıcı başvurunuz başarıyla alındı. İncelendikten sonra size haber vereceğiz.","Your supplier application has been received. We will notify you after review.",
Başvurunuz Onaylandı,Application Approved,
"Satıcı başvurunuz onaylandı. Artık ürün listelemeye başlayabilirsiniz.","Your supplier application has been approved. You can now start listing products.",
Başvurunuz Reddedildi,Application Rejected,
"Satıcı başvurunuz reddedildi. Detaylar için destek ile iletişime geçin.","Your supplier application was rejected. Please contact support for details.",
Yeni Satıcı Başvurusu,New Supplier Application,
"{0} yeni satıcı başvurusu yaptı.","{0} submitted a new supplier application.",
KYB İncelemeye Alındı,KYB Under Review,
"{0} için KYB doğrulama başvurunuz incelemeye alındı.","Your KYB verification request for {0} is under review.",
KYB Doğrulandı,KYB Verified,
"{0} için KYB doğrulamanız onaylandı.","Your KYB verification for {0} has been approved.",
KYB Reddedildi,KYB Rejected,
"{0} için KYB doğrulamanız reddedildi. {1}","Your KYB verification for {0} was rejected. {1}",
KYB Doğrulama Başvurusu,KYB Verification Application,
"{0} yeni KYB doğrulama başvurusu bekliyor.","{0} new KYB verification applications are pending review.",
KYB Süresi Doldu,KYB Expired,
Yeni Değerlendirme,New Review,
"{0} yıldız değerlendirme aldınız.","You received a {0}-star review.",
Değerlendirme Gizlendi,Review Hidden,
Bir değerlendirme moderasyon nedeniyle gizlendi.,A review was hidden due to moderation.,
Değerlendirme Yayınlandı,Review Published,
Gizlenmiş bir değerlendirme tekrar yayınlandı.,A previously hidden review has been republished.,
Kategori Onaylandı,Category Approved,
"{0} kategoriniz onaylandı.","Your category {0} has been approved.",
Kategori Reddedildi,Category Rejected,
"{0} kategoriniz reddedildi.","Your category {0} was rejected.",
Ürün Onaylandı,Product Approved,
"{0} ürününüz yayına alındı.","Your product {0} has been published.",
Ürün Reddedildi,Product Rejected,
"{0} ürününüz reddedildi. {1}","Your product {0} was rejected. {1}",
Sipariş İptal Edildi,Order Cancelled,
"{0} numaralı sipariş alıcı tarafından iptal edildi.","Order {0} was cancelled by the buyer.",
İade Talebi,Refund Request,
"{0} numaralı sipariş için iade talebi oluşturuldu.","A refund request was created for order {0}.",
İade Onaylandı,Refund Approved,
"{0} numaralı siparişinizin iade talebi onaylandı.","The refund request for order {0} has been approved.",
İade Reddedildi,Refund Rejected,
"{0} numaralı siparişinizin iade talebi reddedildi.","The refund request for order {0} was rejected.",
Havale Bildirimi,Wire Transfer Notification,
"{0} numaralı sipariş için ödeme dekontu yüklendi.","Payment receipt was uploaded for order {0}.",
Ödeme Onaylandı,Payment Confirmed,
"{0} numaralı siparişinizin ödemesi onaylandı, hazırlanıyor.","Payment confirmed for order {0}; preparing for shipment.",
Kargoya Verildi,Shipped,
"{0} numaralı siparişiniz kargoya verildi.{1}","Your order {0} has been shipped.{1}",
RFQ Onaylandı,RFQ Approved,
"{0} numaralı teklif talebiniz onaylandı.","Your RFQ {0} has been approved.",
RFQ Reddedildi,RFQ Rejected,
"{0} numaralı teklif talebiniz reddedildi.","Your RFQ {0} was rejected.",
Yeni Teklif Geldi,New Quote Received,
"{0} talebinize {1} teklif verdi.","{0} submitted a quote on your request {1}.",
Teklifiniz Kabul Edildi,Your Quote Accepted,
"{0} talebine verdiğiniz teklif kabul edildi.","Your quote on request {0} has been accepted.",
Teklifiniz Reddedildi,Your Quote Rejected,
"{0} talebine verdiğiniz teklif reddedildi.","Your quote on request {0} was rejected.",
"User Profile {0} not found","Kullanıcı profili {0} bulunamadı"
"Satıcı olabilmek için Kurumsal hesap tipi zorunludur (KYB için vergi levhası şart).","Satıcı olabilmek için Kurumsal hesap tipi zorunludur (KYB için vergi levhası şart)."
